"Supplementary Table 2. Lanternfishes species olfactory data used in analyses pertaining to ecological and behavioral factors. Migration acronyms include: DVM, diel vertical migration where species migrate towards the surface at night; PDVM, partial diel vertical migration where only part of the population migrates or has a bimodal distribution; NoDVM, the species does not migrate; IDVM, inverse diel vertical migration where species migrate towards the surface during the day. Feeding categories include: 0, predominately zooplanktivorous with a diet composition mainly containing planktonic crustaceans including amphipods, copepods, decapods, euphausiids, and ostracods; 1, predominately zooplanktivorous but diet includes additional prey types including chaetognaths, larvaceans, molluscs, and polychaete; 2, predominately zooplanktivorous but become partially piscivorous; 3, specialize on a particular prey group (e.g., only piscivorous, only feed on pteropods). Spawning categories include: 0, restricted spawners that only spawn one to two times a year; 1, extended spawners that spawn up to four to six months a year; 2, year-round spawners that spawn throughout the year.",,,,,,,,,,,,,,
Family,Subfamily,Species,Museum_ID,SL (mm),L.R.Lamellae,L.R.Length,ET,Sex,Migration,Migration Source,Feeding Guild,Feeding Source,Spawning,Spawning Source
Neoscopelidae,Neoscopelidae,Neoscopelus_macrolepidotus,MCZ 28162,105,18.5,1.8669,20,,NoDVM,"Nafpaktitis, 1977",2,"Annasawmy et al., 2022",,
Neoscopelidae,Neoscopelidae,Scopelengys_tristis,MCZ 150293,103,18,1.7272,,,NoDVM,"Nafpaktitis, 1977; Hulley 1984",,,,
Neoscopelidae,Neoscopelidae,Solivomer_arenidens,USNM 135928,224,60,5.9436,,Male,,,,,,
Myctophidae,Myctophinae,Benthosema_glaciale,MCZ 53400,52,11,0.9525,25,Female,IDVM,"Dypvik et al., 2012; Olivar et al., 2012",2,"Olivar et al., 2019",0,"Mazhirina, 1988"
Myctophidae,Myctophinae,Benthosema_pterotum,MCZ 151480,34,9,0.635,,,DVM,"Dypvik and Kaartvedt, 2013",2,"Dalpadado and Gjøsæter, 1988",0,"Sassa et al., 2014"
Myctophidae,Lampanyctinae,Bolinichthys_indicus,MCZ 124320,41,16,0.889,,,PDVM,"Gibbs and Krueger, 1987",,,1,"Gibbs and Krueger, 1987"
Myctophidae,Lampanyctinae,Bolinichthys_longipes,AMNH 266511,40,15.5,0.9398,,Male,DVM,"Clarke,1973",0,"Kinzer et al., 1993",1,"Clarke, 1973"
Myctophidae,Lampanyctinae,Bolinichthys_photothorax,AMNH 270155,42,17,0.9652,,Female,PDVM,"Eduardo et al., 2021",,,1,"Clarke, 1973"
Myctophidae,Myctophinae,Centrobranchus_andreae,AMNH 261298,45,73,2.3368,,,DVM,"Wang et al., 2019",3,"Hopkins and Gartner, 1992; Watanabe et al., 2002; Van Noord, 2013",,
Myctophidae,Myctophinae,Centrobranchus_nigroocellatus,MCZ 123098,33,60,1.6256,,,DVM,"Gibbs and Krueger, 1987",3,"Hopkins and Gartner, 1992; Watanabe et al., 2002; Van Noord, 2013",,
